full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
       (2012 TG387),2.654,0.1497,10.75,346.01,134.18,2.256,3.05,4.32,3841.0,0.0,34,,,18.14
222418 (2001 HM46),2.355,0.2822,4.74,28.29,233.8,1.69,3.02,3.61,8249.0,0.0,890,,,16.6
       (2021 TF4),1.912,0.072,21.72,183.95,275.09,1.774,2.05,2.64,3505.0,0.0,40,,,19.17
 82530 (2001 OW60),2.514,0.1587,6.74,108.51,237.58,2.115,2.91,3.99,8837.0,0.0,1772,,,15.49
531533 (2012 TT212),3.179,0.1682,9.77,184.91,160.26,2.644,3.71,5.67,6374.0,0.0,173,,,16.49
       (2015 TO240),2.673,0.1597,11.48,281.64,103.83,2.246,3.1,4.37,7643.0,0.0,58,,,17.72
222443 (2001 QH107),1.908,0.0784,20.08,264.42,124.21,1.758,2.06,2.63,10028.0,0.0,478,,,17.45
659488 (2019 GA60),3.166,0.032,8.15,248.16,249.98,3.064,3.27,5.63,6662.0,0.0,82,,,16.92
602200 (2014 EU39),2.627,0.1774,17.5,150.92,301.53,2.161,3.09,4.26,8631.0,0.0,121,,,17.41
       (2019 UC98),2.591,0.2802,13.23,205.53,147.11,1.865,3.32,4.17,1452.0,2.0,44,,,19.22
   325 Heidelberga (A892 EA),3.218,0.1512,8.57,344.2,71.01,2.731,3.7,5.77,48357.0,0.0,11130,,,8.96
       (2010 VU264),5.249,0.0928,17.82,246.5,165.39,4.762,5.74,12.0,4405.0,0.0,50,,,14.81
465362 (2008 AN105),2.444,0.1209,4.56,324.6,84.49,2.149,2.74,3.82,5944.0,0.0,89,,,18.09
       (2015 WM26),2.312,0.1879,2.05,46.55,337.02,1.877,2.75,3.52,5116.0,0.0,82,,,18.9
194079 (2001 SB153),2.376,0.0791,6.31,350.37,93.43,2.188,2.56,3.66,8151.0,0.0,515,,,16.84
614803 (2000 CF73),2.342,0.1139,5.21,317.74,256.42,2.076,2.61,3.59,8665.0,0.0,97,,,18.06
326745 (2003 QG85),3.115,0.117,1.82,36.26,116.43,2.75,3.48,5.5,10309.0,0.0,105,,,17.07
646052 (2007 YY49),3.151,0.1696,9.31,297.37,201.85,2.617,3.69,5.59,6699.0,0.0,160,,,16.33
613194 (2005 UV399),1.882,0.0979,20.12,226.8,97.29,1.698,2.07,2.58,10808.0,0.0,86,,,18.83
333056 Bellamy (2011 SE226),2.737,0.1529,8.15,248.5,300.5,2.318,3.16,4.53,6175.0,0.0,269,,,16.53
150529 (2000 SK49),2.632,0.1839,11.64,334.02,314.73,2.148,3.12,4.27,8598.0,0.0,1045,,,15.52
       (2015 BB477),2.944,0.0325,1.19,223.29,328.98,2.848,3.04,5.05,2748.0,0.0,39,,,17.92
228282 (1999 XH149),2.901,0.0571,3.75,242.5,244.96,2.736,3.07,4.94,8793.0,0.0,374,,,16.06
       (2016 AW309),2.385,0.1704,10.2,214.15,343.33,1.979,2.79,3.68,5066.0,0.0,89,,,18.5
112931 (2002 QW68),3.183,0.072,2.07,120.13,296.49,2.953,3.41,5.68,8889.0,0.0,480,,,16.17
       (2014 HO342),3.19,0.1327,2.89,103.42,169.27,2.766,3.61,5.7,2691.0,4.0,32,,,17.77
 54866 (2001 OO39),2.98,0.0555,11.02,106.19,180.6,2.815,3.15,5.15,9135.0,0.0,2838,,,14.08
       (2003 SY473),2.735,0.2386,3.54,202.96,159.48,2.082,3.39,4.52,6593.0,1.0,37,,,19.05
